Provider ID,Matched Founder ID,Match Score,Key Matching Reasons
S028,F005,51.03,"Industry Match, Skill Match"
S029,F048,57.19,"Industry Match, Skill Match"
S029,F045,55.0,"Skill Match, Project Type Match"
S029,F008,52.19,"Skill Match, Timeline Fit"
S030,F030,70.0,"Skill Match, Project Type Match, Timeline Fit"
S030,F032,70.0,"Skill Match, Project Type Match, Timeline Fit"
S030,F035,54.43,"Industry Match, Skill Match"
S031,F028,51.24,"Industry Match, Project Type Match"
S031,F026,44.9,"Project Type Match, Timeline Fit"
S031,F041,43.1,"Industry Match, Timeline Fit"
S032,F024,55.0,"Skill Match, Project Type Match"
S032,F020,52.19,"Skill Match, Timeline Fit"
S032,F046,52.19,"Skill Match, Timeline Fit"
S033,F050,75.0,"Industry Match, Skill Match, Project Type Match"
S033,F021,52.65,"Industry Match, Project Type Match"
S033,F037,51.86,"Industry Match, Skill Match"
S034,F001,55.0,"Skill Match, Project Type Match"
S034,F033,49.44,"Project Type Match, Timeline Fit"
S034,F050,48.46,"Skill Match, Timeline Fit"
S035,F019,49.9,"Industry Match, Project Type Match"
S035,F029,48.13,"Project Type Match, Timeline Fit"
S035,F021,47.36,"Project Type Match, Timeline Fit"
S036,F005,55.0,"Skill Match, Project Type Match"
S036,F012,55.0,"Skill Match, Project Type Match"
S036,F034,55.0,"Skill Match, Project Type Match"
S037,F044,75.0,"Industry Match, Skill Match, Project Type Match"
S037,F012,66.06,"Industry Match, Skill Match, Timeline Fit"
S037,F021,55.0,"Skill Match, Project Type Match"
S038,F005,70.0,"Skill Match, Project Type Match, Timeline Fit"
S038,F012,55.0,"Skill Match, Project Type Match"
S038,F034,55.0,"Skill Match, Project Type Match"
S039,F041,75.0,"Industry Match, Skill Match, Project Type Match"
S039,F028,51.86,"Industry Match, Skill Match"
S039,F019,44.14,"Project Type Match, Timeline Fit"
S040,F017,75.0,"Industry Match, Skill Match, Project Type Match"
S040,F002,65.31,"Industry Match, Project Type Match, Timeline Fit"
S040,F040,48.28,"Industry Match, Project Type Match"
S041,F044,56.36,"Industry Match, Skill Match"
S041,F012,55.47,"Industry Match, Skill Match"
S041,F034,55.47,"Industry Match, Skill Match"
S042,F016,55.0,"Skill Match, Project Type Match"
S042,F042,55.0,"Skill Match, Project Type Match"
S042,F024,54.28,"Industry Match, Skill Match"
S043,F024,90.0,"Industry Match, Skill Match, Project Type Match, Timeline Fit"
S043,F020,57.19,"Industry Match, Skill Match"
S043,F046,57.19,"Industry Match, Skill Match"
S044,F018,53.05,"Industry Match, Skill Match"
S044,F015,48.08,"Skill Match, Timeline Fit"
S044,F049,47.42,"Industry Match, Project Type Match"
S045,F019,70.0,"Skill Match, Project Type Match, Timeline Fit"
S045,F044,51.25,"Industry Match, Project Type Match"
S045,F010,51.21,"Industry Match, Skill Match"
S046,F009,66.24,"Industry Match, Project Type Match, Timeline Fit"
S046,F033,55.0,"Skill Match, Project Type Match"
S046,F028,51.28,"Skill Match, Timeline Fit"
S047,F020,70.0,"Skill Match, Project Type Match, Timeline Fit"
S047,F046,70.0,"Skill Match, Project Type Match, Timeline Fit"
S047,F042,66.38,"Industry Match, Skill Match, Timeline Fit"
S048,F032,66.25,"Industry Match, Project Type Match, Timeline Fit"
S048,F020,55.0,"Skill Match, Project Type Match"
S048,F046,55.0,"Skill Match, Project Type Match"
S049,F025,70.47,"Industry Match, Skill Match, Timeline Fit"
S049,F005,65.14,"Industry Match, Project Type Match, Timeline Fit"
S049,F004,55.0,"Skill Match, Project Type Match"
S050,F045,71.28,"Industry Match, Skill Match, Timeline Fit"
S050,F023,55.0,"Skill Match, Project Type Match"
S050,F008,53.05,"Industry Match, Skill Match"
